GDP2020,statefip
199880.8,1
50705.2,2
327178,4
117268.2,5
2667220.9,6
353345.2,8
235234.9,9
62281.8,10
122485.3,11
950164.4,12
537615.8,13
70109.4,15
75145.5,16
734385,17
327277.9,18
170957.4,19
158348.3,20
188396.3,21
218421.7,22
59881.4,23
352384,24
500001,25
448455.3,26
328489.5,27
100526.9,28
282754.1,29
46750.4,30
118141.5,31
146492.5,32
75927.6,33
535323.7,34
92496.3,35
1432507,36
506658.1,37
53653.6,38
594143.6,39
192485.5,40
215743.6,41
680957.4,42
51516.1,44
208234.1,45
47402.4,46
323454,47
1747562,48
174954.7,49
29064.6,50
478909.3,51
538856.1,53
70444.2,54
293104.9,55
36268.6,56
