"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3875122","2020","US","All States, DC and Territories (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.3","","","","","53","Overall","Overall","_RFDRHV7","1","1","","","","","",""
"3872466","2020","UW","All States and DC (median) **","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.3","","","","","51","Overall","Overall","_RFDRHV7","2","2","","","","","",""
"3657555","2020","AL","Alabama","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.7","","","93.8","95.5","4800","Overall","Overall","_RFDRHV7","3","3","","","","","",""
"3663552","2020","AK","Alaska","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","90.6","","","89.1","92.0","3095","Overall","Overall","_RFDRHV7","4","4","","","","","",""
"3663696","2020","AZ","Arizona","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.5","","","92.8","94.2","8767","Overall","Overall","_RFDRHV7","5","5","","","","","",""
"3665324","2020","AR","Arkansas","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.1","","","92.0","94.2","4629","Overall","Overall","_RFDRHV7","6","6","","","","","",""
"3679439","2020","CA","California","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","93.8","","","92.9","94.6","4095","Overall","Overall","_RFDRHV7","7","7","","","","","",""
"3677667","2020","CO","Colorado","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","92.2","","","91.6","92.9","8689","Overall","Overall","_RFDRHV7","8","8","","","","","",""
"3672584","2020","CT","Connecticut","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.0","","","93.2","94.7","7703","Overall","Overall","_RFDRHV7","9","9","","","","","",""
"3686736","2020","DE","Delaware","Alcohol Consumption","Heavy Drinking","Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week) (variable calculated from one or more BRFSS questions)","Do not meet criteria for heavy drinking","BRFSS","%","Crude Prevalence","94.1","","","92.9","95.2","3464","Overall","Overall","_RFDRHV7","10","10","","","","","",""
